id,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,usd_pledged_real,usd_goal_real,year
193228257,A life after life,Theater,Theater,USD,2015-11-02,50000,2015-09-03 19:14:21,0,failed,0,US,0,0,50000,2015
855337649,Control Alt the Seat,Crafts,Crafts,USD,2017-03-10,10000,2017-01-19 04:29:38,1815,failed,46,US,185,1815,10000,2017
1503983843,The Industrial Coastline,Fine Art,Photography,GBP,2016-07-06,6000,2016-06-06 23:18:36,171,failed,5,GB,248.26,222.07,7791.8,2016
237319431,AstroBox Touch: A Powerful Touchscreen for your 3D Printer,3D Printing,Technology,USD,2017-06-09,10000,2017-05-09 15:29:09,74781,successful,603,US,31112,74781,10000,2017
1978312502,OS Power Box: The All-in-One USB-C Power Dock,Gadgets,Technology,USD,2017-09-20,16500,2017-08-23 13:53:46,26996,successful,172,US,5843,26996,16500,2017
2063566223,Shishka Bob Design- Leg Braces That Fit AG Dolls or Similar,Design,Design,USD,2016-10-01,5000,2016-08-29 23:16:09,7753,successful,135,US,1135,7753,5000,2016
4219515,Another Man's Gun: Film Trailer,Narrative Film,Film & Video,USD,2016-04-13,3200,2016-03-04 06:36:11,3205,successful,42,US,3205,3205,3200,2016
14987267,Product of South Bank Degree Show 2015,Product Design,Design,GBP,2015-05-23,1000,2015-04-14 18:07:47,1083,successful,40,GB,1583.43,1652.38,1525.74,2015
280342383,A Joke,Publishing,Publishing,GBP,2014-11-06,1002,2014-10-07 16:55:35,9,failed,2,GB,14.38,14.24,1585.12,2014
2146072954,Live 4 The Rush: Palooza Pics,Places,Photography,CAD,2016-12-25,2000,2016-12-03 22:29:28,1580,failed,12,CA,0,1173.85,1485.88,2016
1399940073,"In Three Days, an Action/Thriller novel",Fiction,Publishing,USD,2014-11-02,25000,2014-10-03 22:06:54,89,failed,2,US,89,89,25000,2014
1627301076,Canadian Precious Opal Mining,Documentary,Film & Video,CAD,2014-06-15,100000,2014-05-16 01:00:15,530,failed,3,CA,485.92,490.11,92472.72,2014
2025775374,The 5th Year Studio Recording,Rock,Music,USD,2016-10-07,3000,2016-09-07 17:36:57,1,failed,1,US,0,1,3000,2016
700339928,CookingSoles,Apparel,Fashion,USD,2015-04-16,1500,2015-03-18 05:10:47,0,failed,0,US,0,0,1500,2015
1289539922,Crazy vending machines,Hardware,Technology,GBP,2014-10-10,30000,2014-09-10 13:30:29,5,failed,1,GB,8.04,8.02,48102.36,2014
1339173863,Spirits of the Forest,Tabletop Games,Games,EUR,2018-01-26,20000,2018-01-02 15:02:31,3694,live,82,ES,4435.93,4483.39,24273.91,2018
29228452,"My father, a fascist? The true story of my father",Documentary,Film & Video,EUR,2016-02-03,7000,2015-12-12 19:23:04,100,failed,1,IT,109.32,112.02,7841.38,2016
228716506,"Ubuntu's ""Breaking Chains"" 2014 Summer Theater Festival",Theater,Theater,USD,2014-08-07,8000,2014-07-09 19:36:50,8328,successful,146,US,8328,8328,8000,2014
259459685,Jewels of the Jersey Shore,Places,Photography,USD,2015-01-08,12000,2014-12-02 15:25:52,254,failed,3,US,254,254,12000,2015
1127237311,PlayShow - Talents generator,Web,Technology,EUR,2015-07-01,7000,2015-06-01 18:39:41,160,failed,5,FR,175.49,177.54,7767.16,2015
1788285808,"Save The Last Band Standing, Save Les Mangelepa",Music,Music,GBP,2017-11-18,4000,2017-10-24 19:41:25,900,suspended,6,GB,857.83,1199.42,5330.77,2017
1833102016,#TheFamily,Fashion,Fashion,USD,2017-10-06,300,2017-08-07 22:36:47,0,failed,0,US,0,0,300,2017
774001171,Hand-made t-shirts and bags,Fashion,Fashion,GBP,2014-11-18,100,2014-11-08 00:55:50,0,failed,0,GB,0,0,156.82,2014
787646562,Hula Hoop Camp 2016 - An OolaHula Event!,Workshops,Dance,USD,2016-08-05,26000,2016-07-06 04:17:21,1845,failed,6,US,850,1845,26000,2016
1947955800,Liam O'Halloran Photography,Photobooks,Photography,AUD,2015-03-11,30000,2015-02-10 00:22:21,0,failed,0,AU,0,0,22983.22,2015
872005095,ThoraxTrainer: The most efficient workout on the planet,Product Design,Design,DKK,2017-12-07,475000,2017-11-07 17:07:56,515385,successful,69,DK,18887.07,81320.51,74948.33,2017
1994096925,Cleaning Up (Short Film),Shorts,Film & Video,USD,2015-03-07,4000,2015-02-20 16:09:32,2361,failed,38,US,2361,2361,4000,2015
147132083,50 STARS MAGAZINE,Publishing,Publishing,USD,2014-06-21,150000,2014-05-02 23:58:14,46077,failed,64,US,46077,46077,150000,2014
739250406,Desi and Cody Sophomore LP,Music,Music,USD,2017-08-31,12850,2017-08-11 14:57:02,13406,successful,189,US,3627,13406,12850,2017
450022355,Ozark Mountain Cedar Furniture and Decor,Woodworking,Crafts,USD,2016-06-12,6000,2016-05-13 02:57:53,0,failed,0,US,0,0,6000,2016
411443381,Ontario Gardens,Technology,Technology,USD,2016-07-25,750000,2016-05-26 07:24:07,11,failed,2,US,10,11,750000,2016
1949784522,Ballroom Dance Blog,Dance,Dance,USD,2015-12-22,200,2015-11-22 12:13:44,2,failed,2,US,2,2,200,2015
828524558,Mates Rates,Apps,Technology,AUD,2015-06-30,30000,2015-06-01 16:42:45,100,failed,1,AU,76.45,75.24,22573.36,2015
797720770,C.C. Chickpea - Chicken Rap,Kids,Music,AUD,2015-05-10,40000,2015-04-10 02:03:22,171,failed,6,AU,130.77,136.81,32002.56,2015
1396610245,SO METAL: a welding certification,Sculpture,Art,USD,2014-11-15,9000,2014-10-16 01:21:43,500,failed,1,US,500,500,9000,2014
1972994818,"Music Temple, Iztac, México",Music,Music,MXN,2017-12-22,280000,2017-11-22 15:08:01,66008,failed,21,MX,1234.25,3383.12,14350.88,2017
962921070,Couture Collection Debut New York FW (Canceled),Couture,Fashion,USD,2015-10-30,10000,2015-09-30 07:18:37,0,canceled,0,US,0,0,10000,2015
1402576502,Pinkwing & The Prime-Controller: An All Ages Adventure Comic,Comic Books,Comics,USD,2015-10-31,3000,2015-10-01 21:40:58,3625,successful,80,US,3625,3625,3000,2015
2061840420,THE TOASTIE PUFFER: Premium Down Jackets for Children,Childrenswear,Fashion,GBP,2017-10-01,10000,2017-09-01 09:57:07,11826,successful,108,GB,158.82,15462.87,13075.31,2017
1939366384,Fart Juice - The Card Game,Tabletop Games,Games,AUD,2016-08-08,14000,2016-07-09 23:16:50,2445,failed,33,AU,149.31,1876.87,10746.91,2016
1399369573,Frank 'N' Jelly,Webcomics,Comics,USD,2015-02-16,30000,2015-01-17 09:24:07,72,failed,4,US,72,72,30000,2015
1113391301,New generation slide gloves and pucks!,Design,Design,USD,2014-09-11,5000,2014-08-12 02:11:05,102,failed,4,US,102,102,5000,2014
106884002,Luz en Latinoamérica: Documentary in Post-production,Documentary,Film & Video,USD,2014-09-02,6000,2014-07-22 15:06:54,7554.33,successful,111,US,7554.33,7554.33,6000,2014
284450170,Prohibition Style Cocktail Bar,Restaurants,Food,CAD,2017-05-16,50000,2017-04-16 03:16:08,1000,failed,1,CA,18.76,736.97,36848.7,2017
2036506286,Dice Album  - Trilas & Tribulations,Hip-Hop,Music,USD,2015-11-20,75000,2015-10-18 16:01:13,5,failed,1,US,5,5,75000,2015
1192291710,"FINCLIP, the easiest way to don/doff your scuba diving fins",Wearables,Technology,EUR,2016-06-19,90000,2016-05-16 19:02:00,26349,failed,310,IT,29793.15,29157.77,99593.88,2016
69759083,The AV Club Production Slate,Product Design,Design,USD,2014-09-03,1240,2014-08-04 23:56:21,1240,successful,25,US,1240,1240,1240,2014
594766743,"CLIPPER PRO! Swiveling, Clean-Cut, Effortless Nail Clipper.",Design,Design,USD,2017-12-15,5000,2017-11-15 22:14:42,90287,successful,2268,US,1087,90287,5000,2017
1591291434,Crimes against Humanity: Modern Slavery (Canceled),Documentary,Film & Video,USD,2015-02-21,5000,2015-01-22 01:52:46,0,canceled,0,US,0,0,5000,2015
1154654384,SmartMat: Wi-Fi floor mat that can alert mobile devices,Hardware,Technology,USD,2014-04-26,15000,2014-03-26 23:02:07,7960,failed,91,US,7960,7960,15000,2014
790451065,Journey to the Never Never,Documentary,Film & Video,AUD,2016-12-25,6000,2016-12-10 13:27:06,20,failed,1,AU,14.91,14.44,4333.07,2016
1617042111,La Noir Image- Documenting the Monochrome Lifestyle,Zines,Publishing,USD,2016-06-01,35000,2016-04-27 03:22:28,11594,failed,304,US,11594,11594,35000,2016
1568582590,Corn Dog,Small Batch,Food,USD,2016-03-23,12,2016-02-22 15:53:04,13,successful,5,US,13,13,12,2016
626265935,Keep Running Pack (KRP) - The Pack that keeps you running,Product Design,Design,HKD,2018-01-04,40000,2017-12-05 14:55:06,9190,live,11,HK,0,1175.24,5115.29,2018
1037140009,The Pop Open Shopping Bag,Product Design,Design,USD,2016-05-13,15000,2016-04-13 17:28:45,1326,failed,16,US,1326,1326,15000,2016
199588323,Monsters & Macedonians Comic Book Kickstarter Campaign,Comics,Comics,USD,2014-04-26,6500,2014-03-26 23:14:36,1555,failed,21,US,1555,1555,6500,2014
1394567649,Blackwake [Reboot],Video Games,Games,AUD,2015-09-03,10000,2015-08-04 00:04:12,171422.6,successful,4080,AU,125219.76,119716.88,6983.73,2015
2076918710,Hospital Hand Scanner,Gadgets,Technology,DKK,2016-01-01,15000,2015-12-02 19:30:10,0,failed,0,DK,0,0,2183.91,2016
1939146935,Mana Modular - New way to build your dream mixing console,Sound,Technology,GBP,2016-08-03,5000,2016-07-04 18:56:44,6653,successful,26,GB,5779.73,8751.41,6577.04,2016
631186007,BEER:30 Clock,Design,Design,USD,2015-02-06,25000,2015-01-07 00:06:10,176,failed,3,US,176,176,25000,2015
1777470248,BlackWater Roasters and Gaming Cafe',Tabletop Games,Games,USD,2016-06-22,10000,2016-05-23 15:05:54,880,failed,12,US,880,880,10000,2016
728820014,"The ""SeasonalStay"" - Not your traditional breeze blocker!",Crafts,Crafts,USD,2016-04-13,15000,2016-03-14 16:56:28,0,canceled,0,US,0,0,15000,2016
1104897903,Time 4 Change,Hip-Hop,Music,USD,2017-09-01,1500,2017-08-02 11:14:52,0,failed,0,US,0,0,1500,2017
826920882,Hoosier,Narrative Film,Film & Video,USD,2017-12-21,7500,2017-11-30 23:31:50,8190,successful,136,US,1080,8190,7500,2017
508740878,Paint Station (Canceled),Product Design,Design,USD,2015-03-16,45000,2015-01-30 20:28:53,71,canceled,2,US,71,71,45000,2015
122116447,"""Growin' Up Great""",Animation,Film & Video,USD,2017-01-20,15000,2016-12-21 15:45:40,445,failed,6,US,0,445,15000,2017
1594309777,Passenger,Horror,Film & Video,GBP,2016-05-31,1800,2016-05-17 19:42:17,1,failed,1,GB,1.44,1.44,2597.81,2016
998206384,West Coast Tour (Canceled),World Music,Music,USD,2014-04-12,65000,2014-02-11 04:47:17,827.01,canceled,6,US,827.01,827.01,65000,2014
323169309,Roseburg Salsa Company,Food,Food,USD,2015-03-15,35500,2015-02-28 01:50:02,911,failed,12,US,911,911,35500,2015
1731816072,Graham Czach EP,Music,Music,USD,2014-04-20,15000,2014-03-18 15:38:26,15970,successful,138,US,15970,15970,15000,2014
1808659743,Mahtava: People and Fitness Connected,Web,Technology,USD,2017-07-05,600000,2017-06-05 20:54:06,60,failed,3,US,60,60,600000,2017
34553051,Kuicut: The Ultimate Handy Power Cutter & Tool.,Hardware,Technology,USD,2016-11-29,20000,2016-10-05 01:00:03,1016,failed,12,US,860,1016,20000,2016
1220011519,Gate Seventeen (Boarding Soon),Theater,Theater,CAD,2014-04-01,2795,2014-03-05 22:38:26,3004,successful,66,CA,2708.24,2725.46,2535.84,2014
1481896079,STAR MISSIONS  VOLUME 1 - ISSUE 1,Comic Books,Comics,USD,2015-12-12,3400,2015-11-12 21:53:03,919,failed,15,US,919,919,3400,2015
1342596348,Rockin Moonies,Accessories,Fashion,USD,2017-08-10,200,2017-07-11 21:33:20,210,successful,9,US,10,210,200,2017
209110691,Endangered - Board Game,Games,Games,NZD,2017-09-23,200,2017-08-24 04:18:51,0,failed,0,NZ,0,0,144.38,2017
409737024,"DUBCITY ""Seattle-Tacoma International"" Album & Tour 2014",Music,Music,USD,2014-05-19,5000,2014-04-17 19:49:50,565,failed,3,US,565,565,5000,2014
1315206655,Solarity Secret Agency Spy Fiction Novel,Fiction,Publishing,USD,2017-03-21,1750,2017-02-21 07:20:19,27,failed,3,US,0,27,1750,2017
1495439305,David Zollo-For Hire,Music,Music,USD,2014-07-03,14000,2014-06-13 20:13:26,16915.5,successful,308,US,16915.5,16915.5,14000,2014
754803817,Cute Crochet Tops and Bikinis Expansion,Apparel,Fashion,USD,2016-03-31,2000,2016-02-25 03:29:12,2,failed,2,US,2,2,2000,2016
371488217,FAME clothing: F.or A.ll M.y E.ndeavors,Apparel,Fashion,USD,2015-03-07,5000,2015-02-04 09:06:16,0,failed,0,US,0,0,5000,2015
340180397,Preserving the DC Gospel Stars,Faith,Music,USD,2016-04-03,2880,2016-02-26 00:03:49,1,failed,1,US,1,1,2880,2016
2089963109,Out Of Spite T-shirt Designs,Apparel,Fashion,GBP,2014-08-07,300,2014-07-08 20:56:33,30,failed,3,GB,51.43,50.41,504.13,2014
463034825,Smartphone-Chain,Public Art,Art,EUR,2015-08-15,20,2015-08-12 15:59:28,21,successful,2,AT,23.05,23.69,22.56,2015
357665486,KHWIKBALL (Canceled),Live Games,Games,USD,2015-02-07,300000,2015-01-07 10:02:57,0,canceled,0,US,0,0,300000,2015
1185520670,The Most Affordable & Versatile Premium Watch — Kaville,Design,Design,EUR,2017-11-23,25000,2017-10-23 09:58:25,7245,canceled,58,IE,6010.61,8604.92,29692.62,2017
723403795,First Vinyl Release! (Canceled),Electronic Music,Music,USD,2015-07-03,1000,2015-05-20 16:13:54,0,canceled,0,US,0,0,1000,2015
