id,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,usd_pledged_real,usd_goal_real
1545930080,Smak Parlour Collection: Prints Just Want to Have Fun!,Apparel,Fashion,USD,2015-05-02,15000,2015-04-02 18:24:18,16240,successful,128,US,16240,16240,15000
1968926458,Learning to Love Myself: Surviving an Abusive Relationship,Nonfiction,Publishing,USD,2016-09-14,12000,2016-08-15 19:11:58,55,canceled,2,US,0,55,12000
1989695433,knowing / Aprendiendo (App),Software,Technology,USD,2015-12-22,5000,2015-10-23 17:46:06,10,failed,1,US,10,10,5000
818719180,Bigfoot In the New Jersey 'Burbs. An ebook nears completion.,Nonfiction,Publishing,USD,2012-06-12,500,2012-05-29 22:46:02,5,failed,1,US,5,5,500
37851258,"J-Pop, Anime & Video Game Music Exclusive Content App",Music,Music,USD,2011-10-15,2800,2011-08-16 21:06:47,1,failed,1,US,1,1,2800
808187630,"Behind Barbed Eyes, award-winning novel about female inmates",Publishing,Publishing,USD,2017-10-02,2200,2017-08-18 19:09:02,2610,successful,23,US,1370,2610,2200
1387173194,Collegetown: Season 2,Webseries,Film & Video,USD,2011-04-18,500,2011-04-02 17:29:25,540,successful,16,US,540,540,500
727324976,TAIWAN STRAIT ATLAS - Manual for a Smart Region (Canceled),Publishing,Publishing,GBP,2013-02-05,115000,2012-12-07 08:36:10,3230,canceled,37,GB,5198.53,5104.06,181723.37
611430902,High Point Wholesale Building Completion,Spaces,Food,USD,2015-01-02,35000,2014-11-18 20:32:38,39461,successful,142,US,39461,39461,35000
387388392,Savage Worlds Character Sheet Pad,Tabletop Games,Games,GBP,2013-06-09,200,2013-05-10 21:00:33,681,successful,64,GB,1058.29,1063.93,312.46
1286572336,Horror Films suck...not this one,Narrative Film,Film & Video,USD,2010-12-10,12000,2010-11-10 19:43:09,75,failed,2,US,75,75,12000
368969714,Fire Bunny Crafts Button Maker,Art,Art,USD,2015-08-15,400,2015-06-16 19:14:19,24,failed,1,US,24,24,400
535925485,Rebeccas Piano Talent (Suspended),Classical Music,Music,GBP,2014-11-15,700,2014-10-16 20:50:19,0,suspended,0,GB,0,0,1097.76
169104502,"Craft Beer Flight Kits: Now Sippable, Soon Shippable!",Product Design,Design,USD,2016-09-19,25000,2016-08-18 14:51:42,2750,failed,38,US,300,2750,25000
382951987,DEMO ASSISTANCE  (Suspended),Music,Music,USD,2011-01-28,15500,2010-12-29 04:14:20,0,suspended,0,US,0,0,15500
1269941306,Short Stories by Dave Barron (lets get him published),Fiction,Publishing,USD,2014-12-12,3700,2014-11-12 00:55:56,3760,successful,24,US,3760,3760,3700
121683567,DIS LEUR 2 FRUITS & LEGUMES,Fashion,Fashion,EUR,2015-11-02,10000,2015-10-02 19:23:50,276,failed,7,FR,308.15,299.85,10864.02
1408095571,Two Sisters,Shorts,Film & Video,USD,2012-11-04,5000,2012-10-15 20:04:46,5000,successful,26,US,5000,5000,5000
1451896212,The Race to DYE For!,Public Art,Art,USD,2012-08-31,50000,2012-07-30 21:04:52,185,failed,3,US,185,185,50000
1680800108,Delivering the future of construction worker safety...,Apps,Technology,GBP,2016-06-25,1000000,2016-05-26 16:16:47,0,failed,0,GB,0,0,1328285.85
261468487,C-Safe™ Mobile Pocket Lock · Goodbye Pickpockets and Drops,Product Design,Design,SEK,2017-05-05,80000,2017-04-05 08:01:40,151412,successful,715,SE,10412.77,17133.48,9052.64
1661748438,Time for a Food Revolution!,Restaurants,Food,USD,2014-12-02,12000,2014-10-31 18:02:39,14786,successful,170,US,14786,14786,12000
353541781,Salvation,Film & Video,Film & Video,USD,2012-07-08,10000,2012-06-08 11:26:08,0,failed,0,US,0,0,10000
184507635,SPEAK NO EVIL,Shorts,Film & Video,USD,2012-07-12,7000,2012-06-12 14:15:51,0,failed,0,US,0,0,7000
1244907025,VOID comic volume one,Comic Books,Comics,GBP,2017-05-30,1500,2017-04-30 00:56:57,82,failed,9,GB,28.41,105.4,1928.02
95648945,Commecca.com,Technology,Technology,CAD,2017-02-16,100000,2017-01-16 15:10:47,0,failed,0,CA,0,0,76458.44
